,comment,sentiment,positive,negative
249,못생인데 잘 꾸미는 놈들 말고 어느정도 반반하게 생겼는데 관리도 잘하는 거 이런 놈들 다 그루밍족인데 여자한테 돈 존나 쓰게 하려면 난이도가 상당히 까다로움,Negative,0.005616902373731136,0.9943830966949463
250,1. 꾸미는 걸 좋아하는 그루밍족 2. 시험을 늦게까지 치는 걸 봐서는 공대충일 확률이 높으나 자기가 부정한 걸 봐서는 빡센 이과충일 듯 3. 도서관에도 매일 꾸미고 다님. 상당히 패셔너블 한 센스의 사람일...,Negative,0.00975424237549305,0.9902457594871521
251,"1star/ KBS2 이어 박휘순은 “김우빈과 같은 에스테틱을 다닌다. 소녀시대, 박봄, 구하라도 있다”면서 그루밍족(패션과 미용에 아낌없이 투자하는 남자들을 일컫는 신조어)임을 고백했다. 박명수는 같은 관리...",Negative,0.0899973064661026,0.9100026488304138
258,전엔 길거리에 와 진짜 빻았다 탄식만 나왔는데 요샌 나름 눈요기도 하니까... 성형의 보급화때문인지 그루밍족이 늘어서 그런지 깔창 많이 들 깔고 다녀서 그렇다해도 기본적으로 애들이 좀 길죽해진것같음 부모...,Negative,0.06011730059981346,0.9398826956748962
262,"키 178 얼굴 잘생겼다는 소리 많이들음 특히 여자들 남자들에겐 잘 못들음 (존잘은 아님) 나이29 모아둔돈 3천만원 합격시 신혼집겸 집에서 2억 오피스텔해주기로함 성격 집돌이, 자기관리하는거 좋아함(그루밍족임)",Negative,0.003933781757950783,0.9960662126541138
263,"씹게이들이 슬금슬금 ""그루밍족""이니 뭐니 엿같은 문화풍토 정착시켜가지고 눈썹방향만 달라져도 인상이 달라보인다 뭐다 우물의 독푼것마냥 헛소리 퍼뜨려놔서 요새 관리한답시고 눈썹정리칼 같은거 갖고...",Negative,0.030558651313185692,0.9694413542747498
269,"<a class=""tit_txt"" href=""https://gall.dcinside.com/board/view/?id=lgbt&amp;no=3136382"" target=""_blank"">게이들 인스타 티나는거 화장이나 꾸미는걸로 티 안남</a>",Negative,0.04069199413061142,0.9593080282211304
270,"<a class=""tit_txt"" href=""https://gall.dcinside.com/board/view/?id=baseball_ab&amp;no=7802546"" target=""_blank"">다시 생각해보면 고나우 씹게이 같은</a>",Negative,0.13010546565055847,0.8698945045471191
288,"<a class=""tit_txt"" href=""http://gall.dcinside.com/board/view/?id=football_new5&amp;no=8110431"" target=""_blank"">음바페 결국 어디갈거 같냐</a>",Negative,0.12730415165424347,0.8726958632469177
293,남자 그루밍족? 왜요?,Negative,0.016396034508943558,0.9836039543151855
295,그루밍이 저런 뜻이면 그루밍족은 뭐가됨,Negative,0.02333882823586464,0.976661205291748
298,남자 그루밍족..,Negative,0.0495353639125824,0.95046466588974
299,중국남자 화장하는 남자가 늘고 있데,Negative,0.01369709987193346,0.98630291223526
300,555 그루밍족이냐,Negative,0.0184102151542902,0.9815897941589355
302,비비크림칼라로숀쓰는자칭그루밍족게이들보아라,Negative,0.06752507388591766,0.9324749708175659
304,그루밍족=똥꼬충,Negative,0.033661212772130966,0.9663388133049011
305,슬슬 날씨도 쌀쌀해지는데 다들 행사 올때나 콘서트 올때 당부하는건,Negative,0.11191359162330627,0.8880863785743713
309,야 솔직히 해슘주고 뭐고 그새끼 눈화장 존나 구려,Negative,0.0019506739918142557,0.9980493187904358
312,저 사실 페미니스트 에요,Negative,0.1176571398973465,0.8823428750038147
315,이미 여자들은 이쁘장한 그루밍족 남자들을 좋아하는데 갑자기 상남자로 역행하면 결국 게이들만 물고빠는거 아닌가,Negative,0.0014399179490283132,0.9985600709915161
317,다 사는것도 돈이고 그중에서 자기한테 맞는거 찾는것도 엄청난 스트레스고 시간낭비일듯 물론 남자도 그루밍족이네 뭐네 하면서 화장품 이것저것 쓰는 사람들 있지만 여자들에 비하면 새발의 피도 안되는 수준에...,Negative,0.0021419485565274954,0.9978580474853516
322,http://m.mt.co.kr/renew/view.html?no=2018062120304845593 화장하는 남자들 그루밍족 어머 이건 소아성애자 그루밍 단어? 메트로 섹슈얼 이것도 들어봤는데...,Negative,0.004502285737544298,0.9954977631568909
324,강남언니 바비톡 그루밍족 세개중 두개에 후기쓰는 조건으로 좀 싸게 했는데 지금 쓰려고보니까 내가 강남언니로 상담신청해서 한거라 강남언니는 후기가 써지는데 나머지 두군데는 뭐 후기쓰는 버튼? 그런것두...,Negative,0.020850619301199913,0.979149341583252
329,거라고 ㅋㅋㅋㅋㅋ 여자도 ㅂㅅ 같이 하고 댕기면 여자등 사이에서 몬생긴 찐따 소리 들어 ㅋㅋ 니네 그루밍족이란 소리는 들어봤니?? 하긴 느그처럼 세수도 삼일에 한번 씩해서 여드름 덕지덕지 올라온 더벅머리...,Negative,0.004785348195582628,0.9952147006988525
330,수염을 정리해야되는데 판수 같은 아재들은 진짜 쉽지않다 소위말해 멋부리는데 관심이 많은 숙련된 그루밍족들 만이 가능하다 아니면 돈 때려부어서 바버샵에 가서 매번 수염을 관리받아야된다 판수같은 인상...,Negative,0.06598694622516632,0.9340130686759949
331,마주치면 존나 쌍욕나오게 생겼어 그거 동양인 차별 아냐? 왜 눈화장 그따구임? 안그래도 좆같이 생겼는데 그루밍족같은 소리하네 동물이 그루밍을 그렇게 하면 최소 광견병각이야 존나 동물병원에서 검진받아야됨,Negative,0.006093247793614864,0.9939067363739014
332,도전할려고? 꺄오!!! 아오 딸냄구 소미야~~~~~~~~~~~!!!! 여기 아재들 네가 광고 너무 잘찍은 덕에 완전 그루밍족이상으로 도발한다야 크흐! 너무 말잘듣는 뭉치들 아니냐? 울 소미는 여기 금뭉치길만 걷쟈!!! 캭...,Negative,0.04116665571928024,0.9588333368301392
333,이런말을 어케함 꼴페/페미 이딴거 떠나서 한글로 바꾼다 치면 저 사실 욜로족이에요 저 사실 그루밍족이에요 저 사실 나체족이에요 시이발 낯뜨거워서 이런걸 어케말함 ㅋㅋ 듣는사람 뜬금없어 할듯 - dc...,Negative,0.015705224126577377,0.9842947721481323
